date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
12/22/2011,0.083333333,0,1,1,1:08:00
12/22/2011,0.181818182,0,1,2,1:07:00
12/22/2011,1,0,2,4,1:06:00
12/22/2011,2,0,1,2,1:06:00
4/9/2011,0.027027027,0,1,1,11:11:00
4/18/2011,0,0,0,0,1:17:00
3/31/2011,0.272727273,0,3,6,9:48:00
3/30/2011,0.285714286,0,1,2,11:11:00
3/30/2011,0,0,0,0,11:11:00
1/11/2014,0,0,0,0,6:35:00
1/11/2014,0,0,0,0,4:03:00
1/11/2014,0,0,0,0,3:59:00
1/11/2014,0,0,0,0,3:58:00
1/11/2014,0,0,0,0,3:58:00
1/11/2014,0.2,0,1,1,3:56:00
1/11/2014,0,0,0,0,3:55:00
1/11/2014,0,0,0,0,3:54:00
1/11/2014,0.461538462,0,3,6,3:54:00
1/11/2014,0,0,0,0,3:53:00
1/11/2014,0,0,0,0,3:53:00
1/11/2014,0.051282051,0,2,2,3:53:00
1/11/2014,0,0,0,0,3:51:00
1/11/2014,0.75,0,1,3,3:51:00
1/11/2014,0,0,0,0,3:51:00
1/10/2014,0,0,0,0,1:15:00
1/10/2014,0,0,0,0,1:15:00
1/10/2014,0.083333333,0,1,1,1:14:00
1/9/2014,0.136363636,1,4,6,12:01:00
1/8/2014,3,0,1,3,4:41:00
1/8/2014,0.8,0,1,4,4:41:00
1/8/2014,0.5,0,1,3,4:41:00
1/8/2014,-0.5,1,0,-3,4:41:00
1/8/2014,0,0,0,0,4:41:00
1/8/2014,0,0,0,0,4:40:00
1/8/2014,0,0,0,0,4:39:00
1/8/2014,0,0,0,0,4:23:00
1/8/2014,0,0,0,0,4:23:00
1/8/2014,0,0,0,0,4:22:00
1/8/2014,-0.25,1,0,-1,4:22:00
1/8/2014,3,0,1,3,4:22:00
1/8/2014,0,0,0,0,4:22:00
1/8/2014,0,0,0,0,4:21:00
12/30/2013,0.272727273,0,1,3,3:24:00
12/30/2013,0,0,0,0,3:09:00
12/30/2013,-0.2,1,1,-2,3:09:00
12/30/2013,0,0,0,0,3:09:00
12/30/2013,0,0,0,0,3:08:00
12/30/2013,-0.333333333,1,0,-2,3:08:00
12/30/2013,0,0,0,0,3:06:00
10/21/2011,0,0,0,0,7:12:00
